Name	Set	ImageFile	Class	Level	Attack	HP	Type	Type2	Text	Text2	Text3	Rarity	Number
 Blue Mushroom 	Set6	001.png	Bowman	20	20	20	 Monster	Mushroom	 Bump - When you play Blue Mushroom, you may return a monster to its player's hand.	30B Spawn 30 - Play a monster of level 30 or less		C	6001
 Bow Booster	Set6	002.png	Bowman	30			Tactic	Skill	 Get +30 damage you do with your next character action or tactic until the end of turn. Draw a card.	70BB Spawn / Think Fast 90 - Play a monster or tactic of level 90 or less.		U	6002
 Bubble Fish	Set6	003.png	Bowman	28	20	30	 Monster	Water Fish	 Booster in the Deep 20 - If your opponent has 6 or more cards in his or her discard pile, Bubble Fish gets +20 HP and +20 attack.	OS: Bowman Prowess - Play a Bowman card of your level or less.		C	6003
 Check	Set6	004.png	Bowman	20			Tactic	Strategy	 If your opponent levels up next turn, he or she can’t play a monster, tactic or item until the end of their turn.	Rescue 70 - At the start of your turn, if your level is 70 or more, you may play this card from your discard pile then put it on the bottom of your deck.	OS: Paralysis - Your opponent can’t play tactics next turn.	R	6004
 Evil Eye	Set6	005.png	Bowman	27	20	20	 Monster	 Worm	 Worm Blast - When you play Evil Eye, do damage to a character or monster equals to the number of Pirate cards under you character times 10.	40BB Spawn / Think Fast 40 - Play a monster or tactic level 40 or less.		U	6005
 Green Hawkeye	Set6	006.png	Bowman	30			Item	Armor	 Each of your monsters gets +10 attack. Each of your Flying monsters gets +20 attack instead.	50B Spawn / Think Fast 40 - Play a monster or tactic level 40 or less.		C	6006
 Green Hunter’s Armor	Set6	007.png	Bowman	30			Item	Armor	 When one of your monsters is destroyed, reveal the top card of your deck. If it’s a card of level 20 or less, put it into your hand. Otherwise, put it on the bottom of your deck.	60B Spawn / Equip 60 - Play a monster or item of level 60 or less.		U	6007
 Harp	Set6	008.png	Bowman	80	20	80	 Monster	Flying Bird	 Attack from the Sky - When you play Harp, do 80 damage to an opponent’s character or monster.	OS: Bump - Return a monster to it’s player’s hand.		R	6008
 Hurricane	Set6	009.png	Bowman	120			Tactic	Skill	 You can search up to three tactics that contain the word “Arrow” in their name, and play them.  Then shuffle your deck.	Bowman Focus 90 - If your character is a Bowman, you may play Hurricane as if it was a level 90 card.	70BB Tricky Shot & Think Fast 90 - Do 20 damage to a character or monster. Play a tactic of level 90 or less.	R	6009
Yee-lana	Set6	010.png	Bowman			210	Character	Bowman	10B Easy Shot - Do 10 damage to a character or monster.	20 Quest - Draw a card.	40BB Easy Shot & Spawn X -  Do a 10 damage to a character or monster. Play a monster of your level or less.	C	6010
 Iron Arrow	Set6	011.png	Bowman	50			Tactic	Skill	 Do 60 damage to a monster.  Then do 40 damage to a character.  This damage can’t be prevented.		50BB Easy Shot & Think Fast 50 - Do 10 damage to a character or monster. Play a tactic of level 50 or less.	U	6011
 Jar	Set6	012.png	Bowman	47	10	80	 Monster	 Flora	 N/A	50BB Easy Shot & Spawn 50 - Do 10 damage to character or monster. Play a monster of level 50 or less.		U	6012
 Jr. Seal	Set6	013.png	Bowman	38	30	30	 Monster	 Water Seal	 Merciless Attack 30 - If your opponent doesn’t have a monster, Jr. Seal gets +30 attack.	10B Spawn 20 - Play a monster of level 20 or less.		C	6013
 Platoon Chronos	Set6	014.png	Bowman	41	30	40	 Monster	 Undead Spook	 Stealthy - Monsters can't attack Platoon Chronos.	OS: Revive - Return a monster of level 30 or less from your discard pile to your hand.		U	6014
 Red Viper	Set6	015.png	Bowman	35			Item	Weapon	 Draw a card after you destroy the first monster with your character actions each turn.	50BB Easy Shot & Equip 50 - Do 10 damage to a character or monster. Play an item of level 50 or less.		U	6015
 Three-Tailed Fox	Set6	016.png	Bowman	56	50	40	 Monster 	Fox	 Wit - When Three-Tailed Fox is destroyed, level up with it.	OS: Monster Quest - If you have a monster, draw 2 cards.		R	6016
 Seruf	Set6	017.png	Bowman	45	40	70	Monster	Boss	 Defeating - When a character action or monster damages Seruf, do damage equal to 10 times the number of cards in your discard pile to an opponent’s character or monster.			R	6017
 Soul Arrow	Set6	018.png	Bowman	30			Tactic	Skill	 Do 40 damage to a character or a monster. Draw a card. Then discard a card from your hand.	20B Easy Shot - Do 10 damage to a character or monster.		C	6018
 Tristan	Set6	019.png	Bowman			200	Character	Bowman	20 Quest - Draw a card.	30BBB Rolling Thunder Shot - Do damage equal to your level to a character or monster. 		R	6019
 Underwater Arrow	Set6	020.png	Bowman	10			Tactic	Strategy	 Do 30 damage to a character or monster.	Rescue 50 - At the start of your turn, if you are level 50 or more, you may play this card from your discard then put it on the bottom of your deck.	50BB Rescue Spawn 30 - Play a monster of level 30 or less from your discard pile. Put it on the bottom of your deck when your turn ends.	C	6020
 Void Hunter	Set6	021.png	Bowman	70			Item	Weapon	 Get +40 on damage you do with one of your character actions or Bowman tactics each turn. 	90BB Spawn / Think Fast 130 - Play a monster or tactic of level 130 or less		R	6021
